gene,lpv_Treated_vs_Initial,lpv_Untreated_vs_Initial,annot,KOG
Pseudodiploria168526,-7.197303328573278,-2.496170146729323,NA,NA
Pseudodiploria168627,-7.48594869479872,-1.5127665860107757,-,
Pseudodiploria169280,-2.0386603104833916,-2.3300809504512117,NA,NA
Pseudodiploria171009,2.811679557603789,2.503636596570052,NA,NA
Pseudodiploria171125,7.461993402299622,10.076697638144646,NA,NA
Pseudodiploria173599,-7.461993402299622,-1.604362676228793,NA,NA
Pseudodiploria181543,3.4398919547039792,3.52051303102365,procollagen-proline 4-dioxygenase activity,Amino acid transport and metabolism
Pseudodiploria184992,2.4658051299975687,1.5263386463521973,NA,NA
Pseudodiploria186504,-1.3518948568615503,-1.7884438533889984,"phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)",Lipid transport and metabolism
Pseudodiploria186945,1.3457008906578336,1.85743983650484,NA,NA
Pseudodiploria187229,2.3355629453626667,2.4921029618567645,NA,NA
Pseudodiploria187903,-1.4582732856775278,-2.735876472924321,NA,NA
Pseudodiploria188308,1.3185822016990965,1.6013254053526706,NA,NA
Pseudodiploria188516,-3.5461035418985265,-1.565672357203032,Hairy and enhancer of split-related protein helt,Transcription
Pseudodiploria189114,3.5461035418985265,2.503636596570052,Lim homeobox,Transcription
Pseudodiploria189137,3.0722383975009677,3.120666334967341,NA,NA
Pseudodiploria189627,3.162692424790497,2.0240572251485145,cysteine-type peptidase activity,"Posttranslational modification, protein turnover, chaperones"
Pseudodiploria191823,-4.563147841658313,-9.16668284796944,NA,NA
Pseudodiploria192650,2.166234103006059,1.7859967041026907,Berberine and berberine like,Energy production and conversion
Pseudodiploria193907,1.769685816914791,1.4457946444599976,Hepatic leukemia factor,Transcription
Pseudodiploria194315,1.3517186972127184,1.5975706617428305,NA,NA
Pseudodiploria195306,1.3342727554693132,1.4296391419086574,"ATPase activity, coupled to transmembrane movement of substances","Secondary metabolites biosynthesis, transport and catabolism"
Pseudodiploria196574,-2.686456600391323,-1.308852936870803,protein disulfide isomerase activity,"Posttranslational modification, protein turnover, chaperones"
Pseudodiploria196661,2.005126751615712,5.814196288539314,NA,NA
Pseudodiploria196940,-3.163209893395134,-1.3649916175800254,sulfuric ester hydrolase activity,Inorganic ion transport and metabolism
Pseudodiploria197459,1.3315617940318323,1.655228913519907,-,
Pseudodiploria197974,2.9646671331078625,1.4734005923758389,NA,NA
Pseudodiploria198730,1.6919247244576292,1.3509282633772783,NA,NA
Pseudodiploria199715,1.742038481802787,3.530406024285536,NA,NA
Pseudodiploria200175,3.5461035418985265,2.3514210935796536,cytochrome P450,"Secondary metabolites biosynthesis, transport and catabolism"
Pseudodiploria200760,4.566318018453308,9.16668284796944,NA,NA
Pseudodiploria201858,-1.327820869107258,-1.9639054272727159,NA,NA
Pseudodiploria202962,-3.3943936685772194,-2.3514210935796536,glycoside hydrolase family 63,Carbohydrate transport and metabolism
Pseudodiploria203173,-1.3494679160147218,-2.790378901683097,NA,NA
Pseudodiploria204288,4.997728999701457,1.7501366082369019,NA,NA
Pseudodiploria205097,2.2703992943960483,2.258039967979321,"protein F13E9.13, mitochondrial-like",Function Unknown
Pseudodiploria267186,1.8829892496188314,1.5127665860107757,NA,NA
Pseudodiploria67717,-3.0722383975009677,-2.4921029618567645,NA,NA
