Date (Folder Name),Image #,Coral Position,Image J Points,Mean,X,Y
Initial (march 8-9),3768,1,1,113,1132,1655
Initial (march 8-9),3768,1,2,109,1151.5,1711.167
Initial (march 8-9),3768,1,3,108,1152.167,1813.833
Initial (march 8-9),3768,1,4,107,1070.833,1981.833
Initial (march 8-9),3768,2,5,132,1554,1698
Initial (march 8-9),3768,2,6,136,1525.5,1751
Initial (march 8-9),3768,2,7,134,1486,1802.5
Initial (march 8-9),3768,2,8,133,1582,1973
Initial (march 8-9),3768,3,9,110,2192.167,1614.833
Initial (march 8-9),3768,3,10,108,2164.833,1721.5
Initial (march 8-9),3768,3,11,104,2192.833,1924.167
Initial (march 8-9),3768,3,12,93,2147.5,2101.5
Initial (march 8-9),3768,4,13,130,2545.833,2213.167
Initial (march 8-9),3768,4,14,131,2569.167,2078.5
Initial (march 8-9),3768,4,15,120,2523.833,1918.5
Initial (march 8-9),3768,4,16,121,2491.167,2012.5
Initial (march 8-9),3768,5,17,130,3090.5,1721.5
Initial (march 8-9),3768,5,18,134,3075.5,1807.5
Initial (march 8-9),3768,5,19,119,3080.5,2019.5
Initial (march 8-9),3768,5,20,125,3103.5,2166.5
Initial (march 8-9),3770,1,1,103,1042,1922
Initial (march 8-9),3770,1,2,95,1079.5,1947.5
Initial (march 8-9),3770,1,3,91,1087.5,1887.5
Initial (march 8-9),3770,1,4,90,1107.5,1916.5
Initial (march 8-9),3770,2,5,134,1619.833,1972.833
Initial (march 8-9),3770,2,6,128,1645.167,2021.5
Initial (march 8-9),3770,2,7,136,1657.167,2062.167
Initial (march 8-9),3770,2,8,140,1673.167,1988.833
Initial (march 8-9),3770,3,9,118,2126.5,1949.5
Initial (march 8-9),3770,3,10,103,2148.5,1965.5
Initial (march 8-9),3770,3,11,116,2067.833,1821.5
Initial (march 8-9),3770,3,12,105,2153.167,2082.833
Initial (march 8-9),3770,4,13,112,2621.5,2062.5
Initial (march 8-9),3770,4,14,110,2620.5,1997.5
Initial (march 8-9),3770,4,15,108,2608.5,1900.5
Initial (march 8-9),3770,4,16,128,2569.5,1609.5
Initial (march 8-9),3770,5,17,101,3069.5,2003.5
Initial (march 8-9),3770,5,18,86,3024.5,2134.5
Initial (march 8-9),3770,5,19,97,3024.5,1831.5
Initial (march 8-9),3770,5,20,113,2989.5,1707.5
Initial (march 8-9),3771,1,1,93,1111,2071
Initial (march 8-9),3771,1,2,98,1097.5,1948.167
Initial (march 8-9),3771,1,3,99,1105.5,1894.833
Initial (march 8-9),3771,1,4,93,1109.5,1830.833
Initial (march 8-9),3771,2,5,110,1669.167,2051.167
Initial (march 8-9),3771,2,6,110,1658.5,1923.167
Initial (march 8-9),3771,2,7,112,1686.5,1859.167
Initial (march 8-9),3771,2,8,135,1699.833,1692.5
Initial (march 8-9),3771,3,9,111,2086.5,2202.5
Initial (march 8-9),3771,3,10,119,2119.5,2088.5
Initial (march 8-9),3771,3,11,117,2133.5,1915.5
Initial (march 8-9),3771,3,12,114,2111.5,1783.5
Initial (march 8-9),3771,4,13,92,2624.167,2215.167
Initial (march 8-9),3771,4,14,108,2616.167,2043.167
Initial (march 8-9),3771,4,15,111,2621.5,1969.833
Initial (march 8-9),3771,4,16,112,2586.833,1799.167
Initial (march 8-9),3771,5,17,86,3122.5,2103.5
Initial (march 8-9),3771,5,18,88,3169.5,2022.5
Initial (march 8-9),3771,5,19,97,3166.5,1964.5
Initial (march 8-9),3771,5,20,119,3171.5,1811.5
Initial (march 8-9),3772,1,1,97,1145,1924
Initial (march 8-9),3772,1,2,97,1166.5,1867.5
Initial (march 8-9),3772,1,3,94,1121.5,2078.5
Initial (march 8-9),3772,1,4,91,1186.5,1701.5
Initial (march 8-9),3772,2,5,86,1681.5,2060.5
Initial (march 8-9),3772,2,6,96,1677.5,1881.5
Initial (march 8-9),3772,2,7,103,1666.5,1802.5
