TimePoint,Species,Genotype,ID,Replicate,Percent,Tank,Treatment
T0,Acer,MB-B,A102,r1,8.61,T6,Control
T0,Acer,MB-B,A102,r2,7.51,T6,Control
T0,Acer,MB-B,A102,r3,7.27,T6,Control
T0,Acer,BC-8b,A110,r1,11.5,T8,Variable
T0,Acer,BC-8b,A110,r2,12.2,T8,Variable
T0,Acer,BC-8b,A110,r3,10.6,T8,Variable
T0,Acer,MB-B,A112,r1,10.1,T7,Control
T0,Acer,MB-B,A112,r2,8.37,T7,Control
T0,Acer,MB-B,A112,r3,8.48,T7,Control
T0,Acer,BC-8b,A124,r1,7.61,T7,Control
T0,Acer,BC-8b,A124,r2,7.16,T7,Control
T0,Acer,BC-8b,A124,r3,8.61,T7,Control
T0,Acer,SI-C,A139,r1,6.01,T5,Variable
T0,Acer,SI-C,A139,r2,5.07,T5,Variable
T0,Acer,SI-C,A139,r3,5.56,T5,Variable
T0,Acer,MB-B,A150,r1,6.76,T7,Control
T0,Acer,MB-B,A150,r2,7.07,T7,Control
T0,Acer,MB-B,A150,r3,7.59,T7,Control
T0,Acer,BC-8b,A19,r1,10,T5,Variable
T0,Acer,BC-8b,A19,r2,8.5,T5,Variable
T0,Acer,BC-8b,A19,r3,9.82,T5,Variable
T0,Acer,MB-B,A21,r1,6.58,T8,Variable
T0,Acer,MB-B,A21,r2,6.78,T8,Variable
T0,Acer,MB-B,A21,r3,5.51,T8,Variable
T0,Acer,BC-8b,A22,r1,7.49,T7,Control
T0,Acer,BC-8b,A22,r2,7.95,T7,Control
T0,Acer,BC-8b,A22,r3,7.85,T7,Control
T0,Acer,SI-C,A29,r1,5.8,T8,Variable
T0,Acer,SI-C,A29,r2,5.29,T8,Variable
T0,Acer,SI-C,A29,r3,4.72,T8,Variable
T0,Acer,SI-C,A34,r1,6.48,T7,Control
T0,Acer,SI-C,A34,r2,6.97,T7,Control
T0,Acer,SI-C,A34,r3,4.92,T7,Control
T0,Acer,MB-B,A42,r1,7.63,T6,Control
T0,Acer,MB-B,A42,r2,7.34,T6,Control
T0,Acer,MB-B,A42,r3,6.74,T6,Control
T0,Acer,BC-8b,A43,r1,6.77,T6,Control
T0,Acer,BC-8b,A43,r2,7.14,T6,Control
T0,Acer,BC-8b,A43,r3,6.83,T6,Control
T0,Acer,BC-8b,A45,r1,10.5,T8,Variable
T0,Acer,BC-8b,A45,r2,9.41,T8,Variable
T0,Acer,BC-8b,A45,r3,10.2,T8,Variable
T0,Acer,SI-C,A5,r1,4.72,T7,Control
T0,Acer,SI-C,A5,r2,5.04,T7,Control
T0,Acer,SI-C,A5,r3,5.82,T7,Control
T0,Acer,MB-B,A55,r1,8.44,T5,Variable
T0,Acer,MB-B,A55,r2,8.45,T5,Variable
T0,Acer,MB-B,A55,r3,7.18,T5,Variable
T0,Acer,BC-8b,A63,r1,7.45,T6,Control
T0,Acer,BC-8b,A63,r2,7.26,T6,Control
T0,Acer,BC-8b,A63,r3,7.75,T6,Control
T0,Acer,SI-C,A64,r1,8.06,T5,Variable
T0,Acer,SI-C,A64,r2,7.52,T5,Variable
T0,Acer,SI-C,A64,r3,NA,T5,Variable
T0,Acer,SI-C,A78,r1,5.67,T6,Control
T0,Acer,SI-C,A78,r2,5.13,T6,Control
T0,Acer,SI-C,A78,r3,5.35,T6,Control
T0,Acer,SI-C,A79,r1,4.93,T8,Variable
T0,Acer,SI-C,A79,r2,4.54,T8,Variable
T0,Acer,SI-C,A79,r3,5.18,T8,Variable
T0,Acer,MB-B,A83,r1,9.98,T5,Variable
T0,Acer,MB-B,A83,r2,9.48,T5,Variable
T0,Acer,MB-B,A83,r3,9.84,T5,Variable
T0,Acer,BC-8b,A9,r1,8.07,T5,Variable
T0,Acer,BC-8b,A9,r2,8.66,T5,Variable
T0,Acer,BC-8b,A9,r3,8.31,T5,Variable
T0,Acer,MB-B,A94,r1,6.47,T8,Variable
T0,Acer,MB-B,A94,r2,6.84,T8,Variable
T0,Acer,MB-B,A94,r3,5.79,T8,Variable
T0,Acer,SI-C,A95,r1,8.01,T6,Control
T0,Acer,SI-C,A95,r2,6.58,T6,Control
T0,Acer,SI-C,A95,r3,6.27,T6,Control
T0,Pcli,C,P103,r1,5.35,T2,Variable
T0,Pcli,C,P103,r2,5.03,T2,Variable
T0,Pcli,C,P103,r3,4.43,T2,Variable
T0,Pcli,B,P105,r1,5.53,T3,Variable
T0,Pcli,B,P105,r2,5.08,T3,Variable
T0,Pcli,B,P105,r3,3.51,T3,Variable
T0,Pcli,A,P11,r1,7.52,T2,Variable
T0,Pcli,A,P11,r2,8.38,T2,Variable
T0,Pcli,A,P11,r3,7.92,T2,Variable
T0,Pcli,A,P111,r1,11.7,T4,Control
T0,Pcli,A,P111,r2,8.76,T4,Control
